Nome,Descrição,Duração,Categoria,Categoria Padrão,Tipo de Preço,Preço Padrão,Preço Promocional,Custo Médio dos Produtos,Custo Médio dos Produtos para Profissional,Descartáveis e outras despesas,Custo Operacional para Estabelecimento,Custo Operacional para Profissional
Escova P,Lava-se os Cabelos e realiza a Escova.Cabelos Curtos,45 min,Cuidados com Cabelo,Cabelo,Preço Fixo,45,,,,,,
Escova+ PRANCHA  GG,Escova+ PRANCHA OU BABYLISS GG,1h e 20 min,Cuidados com Cabelo,Cabelo,Preço Fixo,100,,,,,,
Escova+ PRANCHA  M,LAVAR,,,,,,,,,,,
Escova+ PRANCHA  P,Escova+ PRANCHA OU BABYLISS P,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,75,,,,,,
hidratação Muzza,Nutrição,,,,,,,,,,,
"Hidratação Senscience, Olorche, Keune, Joico G",Hidratação Senscience Cabelos Longos,1h e 15 min,Cuidados com Cabelo,Cabelo,Preço Fixo,180,,,,,,
"Hidratação Senscience, Olorche, Keune, Joico GG",Hidratação Senscience Cabelos BEM Longos,1h e 30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,215,,,,,,
"Hidratação Senscience, Olorche, Keune, Joico P",Hidratação SenscienceCabelos Curtos,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,155,,,,,,
"Hidratação Senscience, Orloche, Keune, Joico M",Hidratação Senscience Cabelos Medios,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,165,,,,,,
Hidratação Takae G,Hidratação takaeCabelos Longos,1h e 15 min,Cuidados com Cabelo,Cabelo,Preço Fixo,185,,,,,,
Hidratação Takae GG,Hidratação TakaeCabelos BEM Longos,1h e 30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,205,,,,,,
Hidratação Takae M,Hidratação TakaeCabelos Médios,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,175,,,,,,
Hidratação Takae P,tratamento de terapia capilar.,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,165,,,,,,
Hidratação Wella,Hidratação Wella,60 min,Cuidados com Cabelo,Cabelo,A partir de,125,,,,,,
Higienização,Lavar os cabelos.,20 min,Cuidados com Cabelo,Cabelo,Preço Fixo,0,,,,,,
Keune Vegana,Tintura dos Cabelos com produtos do Salão de Beleza.,60 min,Cuidados com Cabelo,Cabelo,A partir de,175,,,,,,
Lavar e Secar G,Lavar e secar os cabelos Longos,20 min,Cuidados com Cabelo,Cabelo,Preço Fixo,55,,,,,,
Lavar e Secar GG,Lavar e secar os cabelos BEM longos.,30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,90,,,,,,
Lavar e Secar M,Lavar e secar cabelos médios,25 min,Cuidados com Cabelo,Cabelo,Preço Fixo,45,,,,,,
Lavar e Secar P,Lavar e secar os cabelos Curtos,20 min,Cuidados com Cabelo,Cabelo,Preço Fixo,35,,,,,,
"LAVAR,SECAR+PRANCHA  M",Prancha ou Babyliss após escovaCabelos MEDIOS,30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,55,,,,,,
LAVAR+SECAR+BABYLISS,Escova+ PRANCHA OU BABYLISS G,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,120,,,,,,
MATIZAÇÃO G,MATIZAÇÃOCabelos Longos,1h e 15 min,Cuidados com Cabelo,Cabelo,Preço Fixo,100,,,,,,
MATIZAÇÃO GG,MATIZAÇÃOCabelos BEM Longos,1h e 30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,120,,,,,,
MATIZAÇÃO M,MATIZAÇÃOCabelos Médios,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,90,,,,,,
MATIZAÇÃO P,MATIZAÇÃOCabelos Curtos,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,80,,,,,,
Mechas,Clareamento ou coloração de mechas largas. Normalmente os tons contrastam com a cor natural dos fios.,1h e 30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,550,,,,,,
Mechas Californianas,Mechas californianas começam de 3 a 4 cm da raíz e se espalham pelo comprimento do cabelo.,1h e 30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,0,,,,,,
Mechas Invertidas,Técnica pode ser utilizada para escurecer cabelos claros ou para disfarçar cabelos grisalhos,,,,,,,,,,,
Modelar pontas,Modelagem pós corte,60 min,Cuidados com Cabelo,Cabelo,A partir de,20,,,,,,
Nutrição KEUNE YOU G,keune You,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,200,,,,,,
Nutrição KEUNE YOU GG,keune You GG,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,225,,,,,,
Nutrição KEUNE YOU M,keune You M,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,185,,,,,,
Nutrição KEUNE YOU P,keune You P,45 min,Cuidados com Cabelo,Cabelo,Preço Fixo,175,,,,,,
Realinhamento Capilar Salvatore,A escova progressiva sem formol alisa até 100% do cabelo. Conforto na aplicação,,,,,,,,,,,
"Reconstrução JOICO K-PAK, OLORCHE  OU CPR P",Reconstrução JOICO K-PAKCabelos Curtos,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,175,,,,,,
"Reconstrução JOICO K-PAK,OLORCHE OU CPR G",Reconstrução JOICO K-PAKCabelos Longos,1h e 15 min,Cuidados com Cabelo,Cabelo,Preço Fixo,215,,,,,,
"Reconstrução JOICO K-PAK,OLORCHE OU CPR GG",Reconstrução JOICO K-PAKCabelos BEM Longos,1h e 30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,240,,,,,,
"Reconstrução JOICO K-PAK,OLORCHE OU CPR M",Reconstrução JOICO K-PAKCabelos Médios,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,185,,,,,,
Strong,Mechas bem grossas a partir da raiz dos cabelos. Essa técnica destaca as mechas mais que qualquer outra.,1h e 30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,0,,,,,,
Terapia Capilar com ozonio,Terapia Capilar.,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,235,,,,,,
Terapia Capilar pacote,Terapia Capilar contra Oleosidade,60 min,Cuidados com Cabelo,Cabelo,A partir de,157,,,,,,
TRATAMENTO INSTANTÂNEO G,Lava-se os Cabelos mais  HIDRATAÇÃO OU RECONSTRUÇAO INSTANTÂNEA e  realiza a Escova.Cabelos Longos,1h e 15 min,Cuidados com Cabelo,Cabelo,Preço Fixo,75,,,,,,
TRATAMENTO INSTANTÂNEO GG,Lava-se os Cabelos mais  HIDRATAÇÃO OU RECONSTRUÇAO INSTANTÂNEA e  realiza a Escova.Cabelos BEM Longos,1h e 30 min,Cuidados com Cabelo,Cabelo,Preço Fixo,85,,,,,,
TRATAMENTO INSTANTÂNEO M,Lava-se os Cabelos mais  HIDRATAÇÃO OU RECONSTRUÇAO INSTANTÂNEA e  realiza a Escova.Cabelos Médios,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,65,,,,,,
TRATAMENTO INSTANTÂNEO P,Lava-se os Cabelos mais  HIDRATAÇÃO OU RECONSTRUÇAO INSTANTÂNEA e  realiza a Escova.Cabelos Curtos,60 min,Cuidados com Cabelo,Cabelo,Preço Fixo,60,,,,,,
Alongamento em gel Molde F-1,Alongamento em gel molde F-1,2h e 30 min,Manicure,Manicure,Preço Fixo,180,,,,,,
Alongamento Soft Gel,Alongamento Soft Gel,2h e 30 min,Manicure,Manicure,Preço Fixo,150,,,,,,
Banho em Gel,Banho Gel,2h,Manicure,Manicure,Preço Fixo,120,,,,,,
Blindagem,Blindagem,1h e 30 min,Manicure,Manicure,Preço Fixo,80,,,,,,
Manicure - Gel top gloss,Aumente a durabilidade do seu esmalte em até 1 mês!,60 min,Manicure,Manicure,Preço Fixo,35,,,,,,
Manutenção Banho em Gel,Manutenção de Banho em Gel,2h,Manicure,Manicure,Preço Fixo,90,,,,,,
Manutenção Soft Gel,Manutenção Soft Gel,2h,Manicure,Manicure,Preço Fixo,120,,,,,,
Postiça Realista,Postiça Realista,2h,Manicure,Manicure,Preço Fixo,100,,,,,,
Base,Cutilação e esmaltação das unhas das mãos. A base de Esmalte em Gel é a primeira a ser aplicada nas unhas e serve para dar mais fixação e durabilidade no esmalte,,,,,,,,,,,
Esmaltação  - ESPECIAL,ADICIONAR esmaltar DECORADA.,20 min,Mãos e Pés,Mãos e Pés,Preço Fixo,7,,,,,,
Esmaltação - Mãos,Apenas Passar ou Trocar o Esmalte das unhas das mãos.,20 min,Mãos e Pés,Mãos e Pés,Preço Fixo,15,,,,,,
Esmaltação - Pés,Apenas Passar ou Trocar o Esmalte das unhas dos pés.,20 min,Mãos e Pés,Mãos e Pés,Preço Fixo,15,,,,,,
LIXAR PÉS,Lixar os pés com lixa descartável.,10 min,Mãos e Pés,Mãos e Pés,Preço Fixo,10,,,,,,
Manicure,Cutilação e esmaltação das unhas das mãos.,30 min,Mãos e Pés,Mãos e Pés,Preço Fixo,27,,,,,,
Manicure e Pedicure,Cutilação e esmaltação das unhas das mãos e dos pés.,60 min,Mãos e Pés,Mãos e Pés,Preço Fixo,45,,,,,,
Manicure e Pedicure - Francesinha,Francesinha.,60 min,Mãos e Pés,Mãos e Pés,Preço Fixo,5,,,,,,
Pedicure,Cutilação e esmaltação das unhas dos pés.,30 min,Mãos e Pés,Mãos e Pés,Preço Fixo,27,,,,,,
SPA de pés,SPA de pés.,45 min,Mãos e Pés,Mãos e Pés,Preço Fixo,35,,,,,,
Top Coat em gel,Artificiais,,,,,,,,,,,
Unha de Gel - Manutenção,Unha de Gel - Manutenção,2h,Mãos e Pés - Unhas Artificiais,Mãos e Pés - Unhas Artificiais,Preço Fixo,50,,,,,,
Maquiagem  SOCIAL,Maquiagem Social incluindo cílios postiços,60 min,Maquiagem,Maquiagem,Preço Fixo,200,,,,,,
BABYLISS M,Cachos nos cabelos. Técnica pode ser realizada manualmente ou com babyliss. Os cachos estão em alta e dão um ar informal ao visual.,60 min,Modelar pontas,Cabelo,Preço Fixo,50,,,,,,
Penteado,Penteado,60 min,Modelar pontas,Cabelo,Preço Fixo,180,,,,,,
Design de Sobrancelha,Design de Sobrancelha Pinça,30 min,Sobrancelha,Sobrancelha,Preço Fixo,50,,,,,,
Pintura Sobrancelhas - Henna,Pintura Sobrancelhas - Henna,30 min,Sobrancelha,Sobrancelha,Preço Fixo,60,,,,,,
Pintura Sobrancelhas com Refectocil,Pintura Sobrancelhas com Refectocil,30 min,Sobrancelha,Sobrancelha,Preço Fixo,60,,,,,,
